product_id,category_id
65d66861-40b9-4036-a6b2-1772bf8cb923,76773547-d354-4c80-bb9d-fb13deb0e10e
65d66861-40b9-4036-a6b2-1772bf8cb923,63acb712-ed4e-4398-9d64-4738492a8275
22050ad4-0041-44a2-bee5-cc6f700f22bc,76773547-d354-4c80-bb9d-fb13deb0e10e
a5a661e1-2e4a-4d45-ab50-186dc73f7ac5,76773547-d354-4c80-bb9d-fb13deb0e10e
aac285c0-4163-4e53-b048-a6ccb79a60fb,76773547-d354-4c80-bb9d-fb13deb0e10e
799ede72-b0cb-473e-a9eb-646060b2f451,6bebc173-686c-4684-9848-abdbcabe94d0
9b69667d-13aa-46f3-a534-8d1ab9b40dab,6bebc173-686c-4684-9848-abdbcabe94d0
9b69667d-13aa-46f3-a534-8d1ab9b40dab,8eb7864e-c24f-4189-9829-f65bab1eea2e
e846f984-0c6d-44f6-975c-5b1e18b5db72,6bebc173-686c-4684-9848-abdbcabe94d0
e846f984-0c6d-44f6-975c-5b1e18b5db72,63acb712-ed4e-4398-9d64-4738492a8275
7b56c13d-fcad-4968-9678-df0ca016f5dd,6bebc173-686c-4684-9848-abdbcabe94d0
0106ebfc-1b13-47fb-a8ee-2c4b30c01d5d,6bebc173-686c-4684-9848-abdbcabe94d0
0106ebfc-1b13-47fb-a8ee-2c4b30c01d5d,8eb7864e-c24f-4189-9829-f65bab1eea2e
7d248000-b33b-4a75-bd1f-b0429de9f246,6bebc173-686c-4684-9848-abdbcabe94d0
7fcb4293-383d-4540-9d34-abf0d196a492,6bebc173-686c-4684-9848-abdbcabe94d0
f54b155a-c53b-4bc8-95f2-b79d21c0e59c,6bebc173-686c-4684-9848-abdbcabe94d0
f54b155a-c53b-4bc8-95f2-b79d21c0e59c,8eb7864e-c24f-4189-9829-f65bab1eea2e
a77fa764-04a7-4ba1-a373-5cfb832f6711,6bebc173-686c-4684-9848-abdbcabe94d0
a77fa764-04a7-4ba1-a373-5cfb832f6711,8eb7864e-c24f-4189-9829-f65bab1eea2e
c15b8c95-ab49-4e2a-a1de-e0b036e59436,6bebc173-686c-4684-9848-abdbcabe94d0
606de6f7-b900-43ba-9fe6-8dd315b16210,6bebc173-686c-4684-9848-abdbcabe94d0
606de6f7-b900-43ba-9fe6-8dd315b16210,8eb7864e-c24f-4189-9829-f65bab1eea2e
283d232d-0c06-4345-9516-256ac9edb05c,76773547-d354-4c80-bb9d-fb13deb0e10e
f64d34e5-8cf7-46a6-8d87-66f4d49f60ef,6bebc173-686c-4684-9848-abdbcabe94d0
5e39cef7-a751-4aa3-8d63-c7053bf215ad,6bebc173-686c-4684-9848-abdbcabe94d0
5e39cef7-a751-4aa3-8d63-c7053bf215ad,8eb7864e-c24f-4189-9829-f65bab1eea2e
330199d0-a1a6-4594-a3fc-218fe32cd028,6bebc173-686c-4684-9848-abdbcabe94d0
